,tipo_titulo,codigo_selic,index,tipo_correcao,data_validade,vna,data_referencia
1,NTN-B,760199,0.94,P,2022-04-28,3929.087508,2022-05-02
2,NTN-C,770100,1.41,F,2022-04-28,6410.01932,2022-05-02
3,LFT,210100,11.65,O,2022-04-29,11606.201214,2022-05-02
0,NTN-B,760100,0.94,P,2022-04-28,3931.022769,2022-05-03
1,NTN-B,760199,0.94,P,2022-04-28,3931.022769,2022-05-03
2,NTN-C,770100,0.62,P,2022-05-03,6411.820456,2022-05-03
3,LFT,210100,11.65,O,2022-05-02,11611.27765,2022-05-03
0,NTN-B,760100,0.94,P,2022-04-28,3932.958984,2022-05-04
1,NTN-B,760199,0.94,P,2022-04-28,3932.958984,2022-05-04
2,NTN-C,770100,0.62,P,2022-05-03,6413.622098,2022-05-04
3,LFT,210100,11.65,O,2022-05-03,11616.356307,2022-05-04
0,NTN-B,760100,0.94,P,2022-04-28,3934.896152,2022-05-05
1,NTN-B,760199,0.94,P,2022-04-28,3934.896152,2022-05-05
2,NTN-C,770100,0.62,P,2022-05-03,6415.424246,2022-05-05
3,LFT,210100,11.65,O,2022-05-04,11621.437185,2022-05-05
0,NTN-B,760100,0.94,P,2022-04-28,3936.834275,2022-05-06
1,NTN-B,760199,0.94,P,2022-04-28,3936.834275,2022-05-06
2,NTN-C,770100,0.62,P,2022-05-03,6417.226901,2022-05-06
3,LFT,210100,12.65,O,2022-05-05,11626.931684,2022-05-06
0,NTN-B,760100,0.94,P,2022-04-28,3938.773352,2022-05-09
1,NTN-B,760199,0.94,P,2022-04-28,3938.773352,2022-05-09
2,NTN-C,770100,0.62,P,2022-05-03,6419.030062,2022-05-09
3,LFT,210100,12.65,O,2022-05-06,11632.428781,2022-05-09
0,NTN-B,760100,0.94,P,2022-04-28,3940.713384,2022-05-10
1,NTN-B,760199,0.94,P,2022-04-28,3940.713384,2022-05-10
2,NTN-C,770100,0.62,P,2022-05-03,6420.83373,2022-05-10
3,LFT,210100,12.65,O,2022-05-09,11637.928477,2022-05-10
0,NTN-B,760100,1.06,F,2022-05-11,3946.60165,2022-05-11
1,NTN-B,760199,1.06,F,2022-05-11,3946.60165,2022-05-11
2,NTN-C,770100,0.5,P,2022-05-11,6420.199744,2022-05-11
3,LFT,210100,12.65,O,2022-05-10,11643.430773,2022-05-11
0,NTN-B,760100,1.06,F,2022-05-11,3948.792496,2022-05-12
1,NTN-B,760199,1.06,F,2022-05-11,3948.792496,2022-05-12
2,NTN-C,770100,0.5,P,2022-05-11,6421.655409,2022-05-12
3,LFT,210100,12.65,O,2022-05-11,11648.935671,2022-05-12
0,NTN-B,760100,1.06,F,2022-05-11,3950.984558,2022-05-13
1,NTN-B,760199,1.06,F,2022-05-11,3950.984558,2022-05-13
2,NTN-C,770100,0.5,P,2022-05-11,6423.111405,2022-05-13
3,LFT,210100,12.65,O,2022-05-12,11654.443171,2022-05-13
